"rep.distance","capsid.distance"
"8.26","8.95"
"7.41","8.42"
"7.16","6.28"
"7.32","8.88"
"7.53","6.59"
"6.53","8.08"
"10.71","4.54"
"9.20","5.86"
"10.90","1.84"
"7.66","4.34"
"6.77","3.37"
"6.80","4.11"
"8.08","5.04"
"9.73","5.4"
"8.83","3.41"
"16.92","2.71"
"12.43","4.18"
"15.89","4.01"
"13.23","4.93"
"12.43","4.9"
"9.06","3.9"
"10.75","3.81"
"8.82","4.24"
"16.62","3.7"
"14.55","3.83"
"14.01","6.52"
"13.47","7.81"
"12.76","7.17"
"13.90","7.36"
"14.47","6.5"
"19.42","7.34"
"18.67","3.23"
"10.71","5.36"
"9.07","6.35"
"10.64","1.5"
"7.31","4"
"6.72","3.88"
"6.60","4.24"
"7.82","5.79"
"9.26","6"
"8.68","3.38"
"15.63","3.12"
"12.04","4.1"
"15.67","4.53"
"13.43","4.49"
"12.49","5.14"
"9.34","4.37"
"11.05","3.82"
"9.17","4.26"
"15.58","3.32"
"13.76","3.78"
"13.45","7.5"
"13.06","8.46"
"12.39","7.01"
"13.47","7.95"
"14.13","6.95"
"17.71","7.05"
"18.56","3.08"
"0.04","1.08"
"10.71","5.36"
"9.07","6.35"
"10.64","1.5"
"7.31","4"
"6.72","3.88"
"6.60","4.24"
"7.82","5.79"
"9.26","6"
"8.68","3.38"
"15.63","3.12"
"12.04","4.1"
"15.67","4.53"
"13.43","4.49"
"12.49","5.14"
"9.34","4.37"
"11.05","3.82"
"9.17","4.26"
"15.58","3.32"
"13.76","3.78"
"13.45","7.5"
"13.06","8.46"
"12.39","7.01"
"13.47","7.95"
"14.13","6.95"
"17.71","7.05"
"18.56","3.08"
"0.04","1.08"
"0.00","1.88"
"0.00","1.71"
"0.00","1.98"
"0.00","0.85"
"0.00","0.9"
"0.00","0.58"
"0.00","0.56"
"0.00","0.57"
"0.00","0.62"
"0.00","0.58"
"0.00","1.08"
"0.00","1.27"
"0.00","1.51"
"0.00","1.49"
"0.00","1.33"
"0.00","1.58"
"0.00","1.5"
"0.00","1.57"
"0.00","2.22"
"0.00","1.99"
"0.00","1.95"
"0.00","5.14"
"0.00","4.49"
"0.00","3.82"
"0.00","4.26"
"0.00","4.9"
"0.00","3.53"
"0.00","4.37"
"0.00","4.53"
"0.00","4.1"
"0.00","3.38"
"0.00","3.12"
"0.00","3.08"
"0.00","3.32"
"0.00","3.78"
"0.00","3.15"
"0.00","3.88"
"0.00","4.24"
"0.00","4"
"0.00","5.79"
"0.00","3.73"
"0.00","4.55"
"0.00","6.35"
"0.00","5.36"
"0.00","6"
"0.00","7.05"
"0.00","8.46"
"0.00","7.95"
"0.00","7.01"
"0.00","6.95"
"0.00","7.5"
"0.00","5.4"
"0.00","6.46"
"11.07","6.73"
"9.67","5.01"
"10.64","2.1"
"7.71","4.68"
"7.01","4.52"
"6.94","4.37"
"8.28","6.11"
"9.29","6.49"
"8.65","3.09"
"14.96","3.29"
"12.70","3.34"
"14.10","3.83"
"14.50","4.88"
"13.22","4.91"
"8.69","4.27"
"10.81","3.85"
"10.48","4.12"
"15.82","4.34"
"13.79","4.23"
"12.08","7.95"
"13.12","9.15"
"12.44","6.57"
"13.54","8.33"
"14.53","6.27"
"18.79","8.46"
"20.43","2.94"
"0.12","1.76"
"0.10","1.99"
"0.10","1.99"
"11.98","4.47"
"9.39","5.21"
"10.74","1.01"
"8.44","4.41"
"7.09","3.89"
"6.87","4.31"
"8.37","5.21"
"9.93","5.79"
"8.22","3"
"16.63","2.91"
"12.03","3.43"
"15.21","3.98"
"14.74","4.03"
"12.93","4.19"
"9.30","3.4"
"10.74","3.44"
"9.07","3.83"
"13.81","3.24"
"15.56","3.25"
"13.71","7.28"
"12.48","7.78"
"11.87","6.88"
"12.91","7.66"
"14.08","5.83"
"16.99","7.6"
"18.09","2.96"
"0.13","1.52"
"0.13","1.33"
"0.13","1.33"
"0.21","1.61"
"11.45","6.32"
"9.71","6.48"
"11.29","1.54"
"8.25","4.66"
"7.49","3.86"
"7.42","4.89"
"9.04","6.58"
"9.33","6.83"
"9.90","3.73"
"17.07","3.5"
"12.77","3.89"
"13.62","4.43"
"14.45","4.73"
"14.83","5.09"
"9.80","4.19"
"11.18","3.85"
"9.55","4.47"
"15.88","4.05"
"13.57","4.58"
"12.32","9.21"
"12.74","10.26"
"12.10","8.61"
"13.01","9.61"
"14.64","8.83"
"17.98","7.95"
"20.38","2.96"
"0.20","0.97"
"0.21","0.58"
"0.21","0.58"
"0.20","2.04"
"0.25","1.27"
"9.92","5.58"
"9.26","5.01"
"9.23","1.96"
"6.90","4.38"
"6.38","3.95"
"6.53","4.05"
"7.25","5.4"
"7.40","6.68"
"8.50","3.64"
"14.97","2.79"
"9.70","3.82"
"11.84","4"
"12.18","3.6"
"11.13","4.72"
"8.29","3.95"
"10.28","3.68"
"10.15","4.01"
"13.77","3.68"
"13.28","3.96"
"12.49","8.13"
"12.53","8.19"
"11.79","6.73"
"12.49","7.89"
"12.22","6.85"
"17.32","6.78"
"18.83","3.29"
"0.48","1.87"
"0.49","1.71"
"0.49","1.71"
"0.48","1.72"
"0.50","1.78"
"0.50","1.85"
"8.50","5.47"
"8.81","6.29"
"10.40","1.26"
"7.77","4.34"
"7.47","3.84"
"7.53","4.1"
"9.30","5.41"
"9.28","5.98"
"9.01","3.06"
"12.94","3.16"
"12.39","3.53"
"14.61","3.97"
"10.51","4.73"
"12.38","4.95"
"8.01","4.05"
"8.34","3.51"
"8.28","4.48"
"14.33","3.53"
"11.16","3.66"
"11.21","7.53"
"11.24","7.26"
"10.86","6.84"
"11.40","6.99"
"11.94","5.96"
"13.49","6.75"
"15.57","3.09"
"0.66","1.52"
"0.65","1.51"
"0.65","1.51"
"0.67","1.65"
"0.72","0.81"
"0.72","1.37"
"0.84","1.86"
"10.88","5.38"
"11.14","5.91"
"11.46","2.08"
"7.51","4.26"
"7.27","3.66"
"7.36","4.09"
"7.67","5.51"
"9.70","7.87"
"16.38","3.45"
"11.07","2.86"
"19.96","4.31"
"18.57","4.05"
"11.00","3.89"
"16.49","4.23"
"8.86","3.8"
"13.42","4.06"
"10.96","4.25"
"12.70","3.86"
"15.27","4.32"
"16.63","6.94"
"10.78","7.16"
"10.67","6.55"
"10.55","6.94"
"10.25","6.74"
"10.90","6.89"
"66.07","3.31"
"4.93","1.89"
"4.86","1.88"
"4.86","1.88"
"4.66","1.97"
"4.79","1.85"
"4.96","2.04"
"4.18","0.84"
"5.24","1.92"
"13.88","5.11"
"11.57","4.39"
"10.43","1.39"
"9.42","4.25"
"8.91","3.83"
"9.18","4.26"
"9.49","5.23"
"12.77","6.23"
"12.43","3.76"
"7.62","3.04"
"12.34","3.85"
"17.29","4.27"
"11.19","4.82"
"16.04","5.8"
"8.55","3.66"
"19.85","4.69"
"9.01","5.48"
"12.67","3.85"
"14.65","4.27"
"18.39","8.32"
"16.12","7.28"
"15.96","6.99"
"16.79","6.91"
"15.13","6.79"
"13.11","9.17"
"-1.00","3.66"
" n/c","1.86"
"4.29","1.57"
"4.29","1.57"
"4.24","2.15"
"4.37","1.32"
"4.17","1.49"
"3.85","1.93"
"5.23","1.57"
"0.75","2.02"
"9.78","6.55"
"7.91","4.54"
"9.14","4.85"
"7.61","5.6"
"7.20","6.13"
"6.98","5.44"
"7.70","4.96"
"8.73","7.75"
"11.06","5.68"
"7.48","6.2"
"10.70","6.66"
"15.67","7.35"
"9.88","7.88"
"9.68","7.11"
"7.56","6.38"
"11.78","6.29"
"8.12","8.98"
"9.07","7.25"
"9.59","7.91"
"12.46","11.2"
"12.35","8.32"
"12.14","8"
"12.75","8.98"
"11.78","7.75"
"10.60","11.11"
"15.48","6.23"
"4.69","6.89"
"4.55","6.46"
"4.55","6.46"
"4.84","5.49"
"4.37","4.76"
"4.82","7.14"
"4.05","6.1"
"5.03","5.7"
"1.20","7.18"
"1.17","6.35"
"9.53","5.21"
"9.63","5.8"
"14.45","1.16"
"10.89","4.33"
"10.65","4.07"
"11.96","4.16"
"11.75","5.31"
"12.48","6.16"
"18.02","3.22"
"12.39","2.78"
"14.66","3.49"
"13.43","3.62"
"12.83","4.42"
"20.80","4.56"
"11.20","3.6"
"9.82","3.54"
"13.52","4.5"
"10.60","3.16"
"16.16","3.54"
"9.28","6.99"
"10.15","6.97"
"10.00","5.96"
"10.30","6.72"
"11.25","5.23"
"8.42","7.53"
"18.01","2.93"
"4.71","1.59"
"4.60","1.49"
"4.60","1.49"
"4.85","1.71"
"5.05","0.73"
"4.67","1.46"
"5.07","1.89"
"4.62","0.74"
"2.88","1.95"
"2.76","1.62"
"2.33","5.71"
"9.62","6.15"
"7.98","5.61"
"14.59","1.74"
"9.36","4.27"
"10.83","4.06"
"11.39","4.37"
"11.78","5.91"
"10.39","6.71"
"16.59","3.57"
"11.66","3.43"
"16.19","3.82"
"12.68","3.95"
"13.78","4.94"
"20.50","5.42"
"9.07","4.23"
"8.66","4.28"
"13.95","4.48"
"9.98","4.03"
"14.42","4.74"
"9.76","7.11"
"13.64","8.33"
"13.35","5.76"
"13.87","8.06"
"11.96","5.91"
"11.04","7.59"
"13.16","2.61"
"4.90","2.11"
"4.81","1.95"
"4.81","1.95"
"4.97","1.98"
"5.22","1.88"
"4.77","1.8"
"5.05","1.84"
"5.04","1.84"
"2.82","1.86"
"2.60","1.94"
"2.32","5.79"
"0.64","2.17"
"7.68","6.05"
"8.12","5.96"
"12.97","1.93"
"10.78","4.56"
"12.19","4.08"
"13.38","4.51"
"13.61","5.62"
"11.23","6.72"
"14.74","3.34"
"12.28","3.27"
"17.55","3.8"
"16.44","4.05"
"13.84","4.57"
"20.08","5.19"
"8.23","4.15"
"8.49","4.64"
"15.22","4.61"
"10.57","4.18"
"14.37","4.6"
"8.89","7.16"
"11.05","8.92"
"10.87","6.83"
"11.19","7.63"
"9.59","6.66"
"10.76","8.94"
"14.58","3.55"
"5.39","1.91"
"5.14","1.98"
"5.14","1.98"
"5.38","1.71"
"5.54","1.42"
"4.98","1.89"
"5.40","1.42"
"5.18","1.67"
"3.06","1.46"
"2.85","2.33"
"2.36","6.72"
"0.69","1.42"
"0.34","2.26"
"6.81","6.71"
"6.13","5.65"
"5.51","3.17"
"5.09","4.28"
"4.58","4.23"
"5.12","5.26"
"4.34","5.97"
"9.00","5.58"
"7.50","3.78"
"4.25","3.93"
"5.49","5.06"
"5.72","5"
"5.24","4.8"
"6.93","4.72"
"6.37","4.99"
"5.19","4.74"
"5.98","5.5"
"8.78","4.76"
"6.42","4.37"
"7.35","10.65"
"8.84","6.84"
"8.81","6.67"
"8.50","6.36"
"7.98","6.4"
"8.04","9.51"
"8.41","4.81"
"8.28","3.14"
"8.29","3.15"
"8.29","3.15"
"8.22","3.43"
"7.25","2.9"
"7.77","3.34"
"6.93","3.13"
"8.03","3.18"
"7.51","3.57"
"6.36","2.94"
"6.85","6.61"
"8.75","2.95"
"8.83","3.74"
"8.08","3.6"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
"N/A","N/A"
